,Type,Age,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Fee,State,VideoAmt,PhotoAmt,DesSem,DesSemCat,NameSem,NameSemCat,Description_SIZE,Description_VALUABLE_SIZE,Description_SCORE,Object_SIZE,Object_COLOR_H,Object_COLOR_S,Object_COLOR_V,Image_WIDTH,Image_HEIGHT,AdoptionSpeed,Breed1_name,Breed2_name,Mixed,BreedName
3692,2,0,2,2,6,7,1,1,2,1,2,1,0,41401,0,4,0.183333333,1,0,0,7,2,0.7,40,16,138,109,296,427,1,Mixed_Breed,American_Shorthair,TRUE,Mixed_Breed__American_Shorthair
3693,1,0,2,1,2,5,2,2,1,1,2,1,0,41326,1,5,0.443055556,1,0,0,67,11,2,45,19,101,159,640,469,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3694,1,0,2,2,0,0,1,1,3,1,3,1,0,41326,0,1,-0.089603175,-1,0,0,48,3,0.3,8,33,70,140,400,300,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3695,1,0,2,1,2,7,2,1,3,3,2,1,0,41326,0,5,0.559047619,1,0,0,55,9,4,44,106,57,122,400,310,0,Jack_Russell_Terrier,Dalmatian,FALSE,Jack_Russell_Terrier
3696,1,0,1,4,5,0,2,1,1,1,2,1,10,41327,0,1,0.3,1,0,0,15,3,1.3,10,11,93,94,346,400,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3697,1,0,2,1,2,7,2,2,2,2,2,1,0,41327,0,2,0,0,0,0,26,7,0.6,20,9,84,122,360,480,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3698,1,0,2,2,0,0,3,2,3,3,2,1,0,41326,0,2,0.059385965,1,0,0,171,40,1.7,17,34,101,101,350,350,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3699,1,0,2,1,7,0,2,3,1,1,1,1,0,41330,0,1,0.7,1,0,0,4,1,0.7,8,99,159,154,348,480,1,Border_Collie,Mixed_Breed,TRUE,Border_Collie__Mixed_Breed
3700,1,0,1,2,0,0,2,2,1,1,2,1,0,41326,0,1,0.233333333,1,0,0,38,7,1.1,10,103,59,81,640,480,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3701,1,1,2,6,7,0,3,2,1,1,2,1,25,41335,0,5,0.244110149,1,0,0,101,17,2.3,50,84,44,126,400,300,0,Siberian_Husky,No_Breed,FALSE,Siberian_Husky
3702,1,2,2,1,3,0,1,1,3,3,3,1,0,41401,0,2,0,0,0,0,35,5,0,19,84,39,136,333,333,1,Chihuahua,Miniature_Pinscher,FALSE,Chihuahua
3703,1,0,2,2,3,0,2,1,2,2,2,1,15,41401,0,1,0.066666667,1,0,0,27,3,-0.2,10,42,134,118,270,480,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3704,2,2,2,2,7,0,2,1,1,1,1,1,0,41326,0,3,0.282222222,1,0,0,67,10,2.1,30,62,56,104,423,480,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3705,1,0,1,3,4,7,2,1,1,1,2,1,0,41326,0,7,0.142389148,1,0,0,163,39,4.2,70,24,65,126,420,451,0,Labrador_Retriever,Mixed_Breed,TRUE,Labrador_Retriever__Mixed_Breed
3706,1,2,1,5,0,0,2,2,1,1,1,1,20,41326,0,2,0.4,1,0,0,52,15,1.5,20,45,112,115,312,331,0,Corgi,Mixed_Breed,TRUE,Corgi__Mixed_Breed
3707,1,0,2,3,0,0,2,1,1,1,2,1,0,41326,0,1,0.35,1,0,0,21,4,1.2,10,15,56,156,400,300,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3708,2,2,1,4,7,0,2,1,1,1,2,1,0,41401,0,3,0.268181818,1,0,0,23,5,1.1,28,37,81,159,400,300,1,Tabby,No_Breed,FALSE,Tabby
3709,1,0,2,2,3,0,2,1,1,1,2,1,0,41326,0,2,0.277777778,1,0,0,26,5,1,20,40,58,192,300,400,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3710,1,2,2,2,4,7,2,1,1,1,2,1,0,41401,0,7,0.15462963,1,0,0,89,15,1.2,64,26,86,138,381,286,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3711,2,2,2,1,7,0,2,2,1,1,1,1,15,41326,0,2,0.133333333,1,0,0,96,16,1.8,20,57,44,127,395,350,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3712,1,0,2,2,0,0,2,2,2,2,2,1,0,41327,0,1,0,0,0,0,15,3,0,10,21,93,154,300,400,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3713,1,2,2,2,5,7,2,2,3,3,3,2,0,41332,0,3,0.365833333,1,0,0,51,6,0.4,29,37,59,119,640,427,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3714,1,0,1,1,2,3,2,1,2,2,2,1,2,41326,0,5,0.2,1,0,0,11,3,0.2,38,121,103,141,360,336,0,Mixed_Breed,Mixed_Breed,TRUE,Mixed_Breed
3715,1,1,2,4,5,7,2,2,1,1,2,1,0,41326,0,3,0.209027778,1,0,0,44,7,1.5,25,50,57,128,283,341,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3716,2,2,1,6,7,0,2,1,1,1,1,1,0,41326,0,5,0,0,0,0,25,4,-0.4,48,17,71,128,320,380,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3717,1,0,2,2,0,0,2,1,2,1,2,1,0,41401,0,1,0.6,1,0,0,15,3,0.1,10,11,105,145,384,384,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3718,1,0,2,1,2,0,2,1,1,1,2,1,0,41326,0,1,0.22875,1,0,0,59,7,0.7,8,23,95,87,264,480,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3719,1,0,2,1,2,0,2,1,1,1,2,1,0,41326,0,10,0.261904762,1,0,0,75,14,1.1,99,23,88,121,330,370,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3720,1,2,1,2,5,7,1,2,3,3,3,2,0,41326,0,4,0.465,1,0,0,44,4,2,40,36,52,167,400,225,0,Shih_Tzu,No_Breed,FALSE,Shih_Tzu
3721,2,2,2,1,2,0,1,1,3,3,3,1,0,41327,0,1,-0.037666667,-1,0,0,70,16,0.7,10,52,120,162,400,300,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3722,2,0,2,5,6,7,2,2,1,2,2,1,0,41326,0,3,0.086907468,1,-0.05,-1,87,19,3.1,30,28,81,140,400,400,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3723,1,2,2,7,0,0,1,1,1,1,1,1,0,41326,0,3,0.147916667,1,0,0,152,20,0.5,28,68,58,152,366,286,0,Mixed_Breed,Mixed_Breed,TRUE,Mixed_Breed
3724,1,2,2,1,2,3,1,1,1,1,2,1,0,41326,0,1,0.558333333,1,0,0,31,6,2.3,6,19,146,153,300,400,0,Miniature_Pinscher,No_Breed,FALSE,Miniature_Pinscher
3725,2,1,2,1,2,4,2,1,1,1,2,1,0,41401,0,4,0.132037037,1,0,0,78,10,-0.4,36,22,67,105,530,450,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3726,1,0,2,7,0,0,2,2,3,3,2,1,0,41326,0,1,0.141666667,1,0,0,30,9,1.3,6,90,76,165,400,360,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3727,1,0,2,2,0,0,2,1,1,1,1,1,0,41326,0,2,0.29,1,0.8,1,40,5,0.9,18,19,104,173,400,225,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3728,2,0,1,5,6,0,1,2,3,3,3,1,0,41401,0,4,0.0125,1,0,0,30,7,0.1,40,50,51,114,400,300,0,Siamese,Mixed_Breed,TRUE,Siamese__Mixed_Breed
3729,2,0,2,2,6,7,2,2,2,1,2,1,0,41326,0,3,0.183333333,1,0,0,4,0,0.8,30,27,75,146,333,366,0,Burmese,Siamese,FALSE,Burmese
3730,2,2,2,1,3,7,2,1,1,1,1,1,0,41326,3,10,0.2420671,1,0,0,145,24,3.7,99,30,86,116,499,420,1,Calico,No_Breed,FALSE,Calico
3731,2,0,2,6,7,0,1,2,1,1,2,1,0,41326,0,2,0.163020833,1,0,0,50,7,1.2,20,47,42,110,400,400,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3732,1,2,2,2,0,0,1,1,1,1,1,1,0,41326,0,5,0.398214286,1,0,0,92,17,2.1,49,12,118,152,291,224,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3733,2,0,1,3,6,7,1,2,2,1,2,1,0,41327,0,2,0.1,1,0,0,28,7,-0.1,18,51,37,114,640,480,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3734,1,0,2,1,5,0,2,2,2,1,2,1,0,41326,0,5,0.223333333,1,0,0,70,16,1.4,32,26,42,133,640,480,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3735,2,0,2,1,4,7,2,1,2,1,2,1,0,41326,0,5,0.2375,1,0,0,60,11,2.2,50,24,104,105,478,384,1,Mixed_Breed,Mixed_Breed,TRUE,Mixed_Breed
3736,1,0,2,1,0,0,2,1,1,1,2,1,0,41401,0,3,0.164807692,1,0,0,71,9,2.3,27,99,74,115,480,480,1,Mixed_Breed,Mixed_Breed,TRUE,Mixed_Breed
3737,1,0,2,1,3,5,3,2,1,1,2,1,0,41326,0,19,0.07,1,0,0,50,13,0.6,182,33,77,134,595,585,0,Mixed_Breed,Retriever,TRUE,Mixed_Breed__Retriever
3738,2,0,1,1,4,7,2,1,2,2,2,1,5,41326,0,3,-0.099444444,-1,0,0,40,16,-0.1,30,13,127,114,453,480,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3739,1,0,2,2,5,7,2,2,1,1,2,1,10,41326,0,1,-0.05,-1,0,0,6,2,0.1,10,11,67,148,299,400,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3740,1,0,2,5,0,0,1,1,1,1,2,1,0,41326,0,6,0.25,1,0,0,45,7,1.9,53,39,77,163,400,383,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3741,1,2,1,3,0,0,2,2,2,2,2,1,2,41327,0,2,0.125,1,0,0,25,6,0.3,19,10,50,197,400,301,1,Terrier,Mixed_Breed,TRUE,Terrier__Mixed_Breed
3742,1,0,2,2,0,0,2,2,3,3,3,1,0,41324,0,1,0.366666667,1,0,0,12,2,-0.1,10,40,94,126,418,480,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3743,1,0,2,1,3,0,2,2,1,1,2,1,0,41326,0,2,0.070238095,1,0,0,76,14,-0.1,20,13,92,118,350,350,0,Mixed_Breed,Terrier,TRUE,Mixed_Breed__Terrier
3744,1,1,2,1,2,5,2,1,1,1,1,1,0,41326,0,5,0.573333333,1,0,0,48,6,2.3,50,55,59,123,260,365,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3745,1,0,1,2,0,0,2,1,2,2,2,1,2,41327,0,1,0.125,1,0,0,21,5,0.2,10,29,69,164,300,400,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3746,2,2,1,3,7,0,2,2,2,1,2,1,5,41326,0,3,0.319166667,1,0,0,94,20,2.5,26,11,112,110,640,480,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3747,1,0,2,3,0,0,2,2,1,2,2,1,0,41326,0,1,0.2125,1,0,0,110,25,2.7,10,76,126,138,300,400,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3748,1,0,2,7,0,0,3,1,1,1,1,1,0,41326,0,1,0,0,0,0,-1,-1,-1,8,21,74,199,400,300,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3749,1,2,2,1,4,7,2,1,1,1,1,1,0,41401,0,2,0.157142857,1,0.7,1,47,8,2,18,30,37,135,400,266,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3750,2,0,1,1,2,0,2,1,1,1,2,1,7,41326,0,1,0.265757576,1,0,0,20,4,1.7,10,48,82,98,400,300,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3751,2,0,1,1,7,0,2,1,2,1,2,1,0,41326,0,2,0,0,0,0,-1,-1,-1,20,72,60,99,400,300,0,Tabby,No_Breed,FALSE,Tabby
3752,2,0,1,1,7,0,1,1,1,1,2,1,0,41326,0,3,0.25,1,0,0,75,14,1,26,49,97,160,640,480,1,Tuxedo,No_Breed,FALSE,Tuxedo
3753,1,2,1,2,3,0,1,2,1,1,2,1,0,41401,0,1,0.297272727,1,0,0,32,8,1.2,10,13,137,120,400,300,0,Poodle,No_Breed,FALSE,Poodle
3754,1,0,2,6,7,0,2,1,2,2,2,1,2,41327,0,1,0.125,1,0,0,25,4,0,10,103,63,134,300,225,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3755,2,0,2,2,4,6,1,1,2,1,2,1,0,41326,0,5,0.222,1,0,0,17,1,0.8,50,16,175,84,400,300,0,Tabby,No_Breed,FALSE,Tabby
3756,1,0,2,2,0,0,2,2,2,1,1,1,5,41326,0,6,0.337575758,1,0,0,59,9,2,60,45,117,154,393,440,1,Mixed_Breed,Weimaraner,TRUE,Mixed_Breed__Weimaraner
3757,2,0,1,6,7,0,2,1,1,2,2,1,0,41335,0,3,0.239007937,1,0,0,191,32,1.5,29,78,63,163,399,300,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3758,2,0,2,5,0,0,2,1,2,2,2,1,0,41326,0,2,0,0,0,0,3,2,0.1,20,45,68,118,640,480,0,Siamese,No_Breed,FALSE,Siamese
3759,1,0,2,1,2,6,2,2,2,2,2,1,0,41326,0,4,0.3375,1,0,0,50,7,1.8,36,33,88,109,400,300,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3760,2,0,2,6,7,0,2,1,2,2,2,1,5,41326,0,4,0.128151515,1,0,0,124,22,3.8,40,24,54,138,325,375,0,Mixed_Breed,Mixed_Breed,TRUE,Mixed_Breed
3761,1,2,2,2,7,0,1,1,1,1,2,1,0,41401,0,1,0,0,0,0,15,2,0,10,18,143,144,283,400,0,Jack_Russell_Terrier,No_Breed,FALSE,Jack_Russell_Terrier
3762,2,0,1,6,7,0,2,1,1,2,2,1,10,41401,0,3,0.133333333,1,0,0,68,14,-0.7,28,37,40,121,640,468,0,Mixed_Breed,Mixed_Breed,TRUE,Mixed_Breed
3763,2,0,1,1,6,7,1,1,1,1,2,2,0,41326,0,26,0.142538087,1,0,0,442,66,8.6,257,35,83,124,489,480,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3764,1,0,1,1,0,0,2,1,2,1,2,1,0,41336,0,3,0.45,1,0,0,16,4,0.6,27,15,55,122,533,444,0,Mixed_Breed,Mixed_Breed,TRUE,Mixed_Breed
3765,1,2,2,1,0,0,3,1,3,3,3,1,25,41326,0,1,0.470925926,1,0,0,164,29,7.4,10,12,33,142,640,639,1,Rottweiler,Mixed_Breed,TRUE,Rottweiler__Mixed_Breed
3766,1,0,2,2,7,0,2,2,1,1,2,1,0,41326,0,2,0,0,0,0,12,3,0.1,20,15,71,166,400,300,0,Wirehaired_Terrier,No_Breed,FALSE,Wirehaired_Terrier
3767,2,2,2,1,3,7,2,2,1,1,1,1,0,41401,0,1,0.377840909,1,0,0,85,12,3.8,10,24,149,114,640,360,1,Calico,No_Breed,FALSE,Calico
3768,2,0,2,1,6,0,2,1,1,1,1,1,0,41326,0,3,0.27,1,0,0,17,3,1.5,30,43,57,114,250,333,0,Ocicat,Singapura,FALSE,Ocicat
3769,1,2,2,2,3,0,1,2,1,1,1,1,0,41401,0,4,0.338461538,1,0,0,95,13,3.3,40,26,97,144,121,149,0,English_Cocker_Spaniel,No_Breed,FALSE,English_Cocker_Spaniel
3770,1,0,2,4,5,7,2,1,1,1,2,1,0,41327,0,11,0.140625,1,0,0,82,12,1.3,93,29,72,116,318,381,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3771,2,0,2,6,7,0,2,1,2,2,2,1,0,41326,0,5,0.351736111,1,0,0,103,15,3.4,50,31,82,122,360,480,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3772,2,1,1,1,7,0,2,1,2,2,2,1,5,41326,0,2,0.433888889,1,0,0,76,13,4.6,20,67,30,139,150,113,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3773,1,0,2,2,0,0,2,1,2,1,2,1,0,41401,0,8,0.15,1,0,0,86,21,0.3,76,22,112,135,387,312,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3774,1,0,2,5,0,0,2,1,1,1,2,1,0,41326,0,3,0.377575758,1,0,0,133,23,1.3,30,45,52,121,546,480,0,Labrador_Retriever,Husky,FALSE,Labrador_Retriever
3775,1,2,1,5,6,7,2,2,1,1,3,1,25,41326,0,1,0.4875,1,0,0,10,2,0.9,10,44,98,130,640,480,0,Schnauzer,No_Breed,FALSE,Schnauzer
3776,1,0,1,1,2,0,2,1,1,1,2,1,0,41326,0,4,0.483333333,1,0,0,21,4,0.9,37,67,105,139,385,480,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3777,2,1,1,5,7,0,3,2,2,2,3,1,0,41326,0,3,0.354166667,1,0,0,61,11,1.5,30,39,36,133,366,333,0,Siamese,Persian,FALSE,Siamese
3778,2,0,2,1,2,6,1,1,1,1,3,1,0,41336,0,2,0.6,1,0,0,27,3,0.6,20,26,58,132,384,480,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3779,1,0,2,1,2,5,2,1,1,1,2,1,0,41326,0,2,0,0,0,0,17,3,0.1,17,79,121,132,400,225,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3780,2,0,1,6,7,0,1,1,2,1,2,1,0,41401,0,0,0.104166667,1,0,0,37,7,-0.3,0,-1,-1,-1,-1,-1,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3781,1,0,1,2,0,0,2,2,3,3,2,1,0,41326,0,5,0.36875,1,0,0,19,4,1.6,46,30,77,184,360,480,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3782,2,0,2,1,7,0,1,1,3,3,3,1,0,41326,0,7,0.041077441,1,0,0,53,12,0.1,68,29,55,107,371,328,0,Tiger,No_Breed,FALSE,Tiger
3783,2,0,2,1,0,0,2,1,3,3,3,1,0,41401,0,1,-0.1,-1,0,0,22,8,-0.1,6,91,145,118,360,480,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3784,1,0,2,1,2,0,2,1,1,1,1,1,0,41326,0,1,0.5,1,0,0,16,3,1.2,10,76,81,130,235,479,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3785,1,0,2,7,0,0,2,3,2,2,2,1,0,41401,0,4,0.215151515,1,0,0,82,6,1.6,40,31,49,165,325,375,1,American_Water_Spaniel,No_Breed,FALSE,American_Water_Spaniel
3786,2,1,2,1,2,3,1,1,1,1,1,1,3,41401,0,1,-0.136111111,-1,0,0,52,11,-0.5,10,81,122,195,400,300,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3787,1,0,2,5,0,0,2,1,1,1,2,1,0,41326,0,4,0.16952381,1,0,0,52,11,0.9,39,42,56,124,640,480,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3788,1,2,2,2,3,5,2,3,1,1,2,1,0,41326,0,2,0.25,1,0,0,21,5,0.3,15,27,69,142,350,350,0,Cocker_Spaniel,No_Breed,FALSE,Cocker_Spaniel
3789,1,0,2,2,0,0,2,3,1,1,1,1,0,41330,0,2,0.7,1,0.15,1,2,1,0.8,19,32,109,118,270,479,1,Golden_Retriever,Mixed_Breed,TRUE,Golden_Retriever__Mixed_Breed
3790,1,0,2,2,7,0,2,1,2,1,2,1,0,41326,0,0,0.014583333,1,0.333333333,1,98,12,0.7,0,-1,-1,-1,-1,-1,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3791,2,2,2,6,0,0,3,2,1,1,1,1,0,41401,1,2,0.28,1,0,0,64,8,1.3,19,83,40,137,270,480,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3792,2,0,1,2,7,0,1,1,2,1,2,1,10,41326,0,5,0.034259259,1,0,0,-1,-1,-1,48,58,60,142,400,270,0,Siamese,Mixed_Breed,TRUE,Siamese__Mixed_Breed
3793,1,0,2,1,2,5,2,2,3,3,1,1,0,41401,0,5,0.55,1,0.5,1,22,4,1.5,50,31,60,123,376,355,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3794,2,0,2,6,0,0,2,2,2,1,2,1,0,41401,0,19,0.516666667,1,0,0,17,4,0.9,179,31,85,148,625,480,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3795,2,0,1,4,7,0,1,1,2,1,2,1,0,41330,0,4,0.3285,1,0.3,1,130,21,3,40,24,84,156,316,375,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3796,2,0,2,1,5,0,2,2,2,2,2,1,0,41326,0,4,0.060416667,1,0,0,24,4,0.7,40,62,61,152,350,350,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3797,2,0,1,6,0,0,2,2,2,2,2,1,0,41326,0,3,0.137142857,1,0,0,20,2,1.5,25,39,84,133,546,533,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3798,2,1,2,2,5,0,2,2,1,1,1,1,0,41401,0,3,0.253333333,1,0,0,18,4,1.2,30,27,47,138,546,480,0,Siamese,No_Breed,FALSE,Siamese
3799,2,0,2,2,0,0,2,1,2,2,2,2,1,41326,0,1,0.55,1,0,0,44,8,1.2,10,97,46,133,400,300,0,Mixed_Breed,Tabby,TRUE,Mixed_Breed__Tabby
3800,1,2,2,3,0,0,2,1,1,1,1,1,0,41326,0,7,0.323660714,1,0,0,79,15,2.4,64,38,91,121,378,314,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3801,1,0,1,2,0,0,2,2,1,1,2,1,0,41326,0,2,0.4125,1,0,0,26,5,1.1,20,37,45,151,300,400,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3802,1,0,2,2,0,0,2,2,3,3,3,1,0,41326,0,4,0.369791667,1,0,0,43,9,1.3,33,25,96,132,427,450,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3803,1,2,2,3,0,0,3,2,1,1,2,1,25,41401,0,24,0.166666667,1,0,0,6,1,0.4,240,37,74,118,387,306,1,Golden_Retriever,No_Breed,FALSE,Golden_Retriever
3804,1,0,2,2,0,0,2,2,2,1,2,1,0,41326,0,3,0,0,0,0,3,2,0,30,20,121,136,270,480,1,Mixed_Breed,Mixed_Breed,TRUE,Mixed_Breed
3805,1,0,1,1,2,7,2,2,3,1,3,2,15,41401,0,4,0.135714286,1,0,0,108,23,4,40,68,34,119,290,270,0,Labrador_Retriever,No_Breed,FALSE,Labrador_Retriever
3806,1,1,1,1,7,0,1,2,1,2,2,1,1,41327,0,1,0.061111111,1,0,0,28,6,0,10,111,30,108,357,478,1,Poodle,No_Breed,FALSE,Poodle
3807,1,2,1,1,5,6,2,2,1,1,1,1,20,41326,0,2,0.4,1,0,0,52,15,1.6,14,46,79,173,640,427,1,Terrier,Poodle,FALSE,Terrier
3808,1,0,2,1,0,0,2,1,2,2,2,1,0,41326,0,1,0.3,1,0,0,11,4,0.2,7,37,55,147,360,480,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3809,1,0,2,2,7,0,2,1,1,1,2,1,0,41326,0,7,0.1025,1,0,0,29,5,1.1,67,52,82,154,371,328,1,Terrier,Mixed_Breed,TRUE,Terrier__Mixed_Breed
3810,1,1,2,2,0,0,2,1,1,1,2,2,0,41401,0,4,0.141581633,1,0,0,98,14,0.6,32,57,116,139,360,480,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3811,2,0,1,1,0,0,1,1,2,1,2,1,0,41401,0,1,-0.46875,-1,0,0,16,4,-0.7,10,45,24,123,400,300,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3812,2,0,1,5,0,0,2,3,2,1,2,1,10,41326,0,9,0.134264069,1,0,0,115,21,2.3,90,62,87,190,377,322,0,Persian,Mixed_Breed,TRUE,Persian__Mixed_Breed
3813,2,0,1,2,3,7,2,1,2,1,1,1,0,41326,0,4,0.177,1,0,0,105,13,2.9,38,34,43,138,640,360,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3814,2,0,1,1,2,0,2,1,2,2,2,1,0,41401,0,2,0.19,1,0,0,56,8,0.5,20,62,69,104,400,300,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3815,1,2,2,1,7,0,1,1,2,2,2,1,0,41401,0,5,0.390416667,1,0,0,91,16,2.2,46,47,53,123,381,379,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3816,1,2,2,2,7,0,2,2,1,1,1,1,0,41330,0,7,0.077777778,1,0,0,48,5,-0.2,59,17,62,160,267,356,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3817,2,0,1,1,0,0,2,2,1,1,1,1,15,41401,1,20,0.269466146,1,0,0,164,27,3.1,185,20,72,122,377,313,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3818,2,2,1,1,2,0,2,1,3,1,1,1,0,41326,0,2,0.3775,1,0,0,37,10,2.1,20,17,84,82,400,300,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3819,1,1,2,1,2,7,2,2,1,1,2,1,0,41326,0,7,0.174068736,1,0,0,387,55,3.9,70,30,114,129,374,348,0,Terrier,Mixed_Breed,TRUE,Terrier__Mixed_Breed
3820,1,0,2,1,0,0,2,1,3,3,2,1,0,41326,0,4,0.366666667,1,0,0,25,5,1,40,93,77,163,318,417,0,Black_Labrador_Retriever,Mixed_Breed,TRUE,Black_Labrador_Retriever__Mixed_Breed
3821,1,2,1,2,7,0,2,1,3,3,1,1,0,41326,0,4,0.131944444,1,0,0,43,7,1.2,28,78,78,116,312,312,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3822,2,0,2,6,7,0,2,2,2,2,2,1,0,41401,0,2,0.525,1,0,0,6,2,0.7,20,25,60,96,300,400,0,Singapura,No_Breed,FALSE,Singapura
3823,2,0,2,1,3,7,2,2,3,3,3,1,0,41326,0,4,0.078666667,1,0,0,15,2,0.7,38,62,84,125,400,268,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3824,1,0,1,2,5,0,1,2,3,3,3,1,0,41326,0,3,0.088139205,1,0,0,198,33,-0.3,30,81,42,123,400,300,0,Golden_Retriever,No_Breed,FALSE,Golden_Retriever
3825,2,1,2,7,0,0,2,2,1,1,2,1,10,41326,0,3,0.318181818,1,0,0,32,7,0.5,30,89,75,104,494,449,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3826,2,2,2,1,6,7,2,1,2,2,2,1,0,41401,0,12,0.228095915,1,0,0,839,125,16.1,120,26,79,125,350,350,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3827,2,1,1,1,6,7,1,1,1,1,1,1,0,41326,0,4,0.2125,1,0,0,51,8,0.3,40,51,27,147,360,480,0,Tabby,No_Breed,FALSE,Tabby
3828,1,2,1,5,0,0,2,1,1,3,2,1,0,41327,0,1,0.5,1,0,0,46,6,0.7,10,8,74,165,300,400,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3829,2,1,1,2,7,0,1,1,2,1,2,1,0,41330,0,5,0,0,0,0,-1,-1,-1,50,33,90,123,380,320,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3830,2,2,2,2,3,5,2,1,1,1,1,1,0,41401,0,6,0.223232323,1,0,0,35,7,1.3,60,18,53,137,418,470,0,American_Shorthair,No_Breed,FALSE,American_Shorthair
